Route_ID,Location,Latitude,Longitude,Weather Conditions,Tide Information,Fuel Cost,Time,Season
1,Kandla Port,23.0360,70.22390,"Clear, 28°C",Low Tide,0,10:00 AM,Summer
1,Off Coast of Gujarat,22.0000,69.00000,"Clear, 29°C",High Tide,6000,12:00 PM,Summer
1,Arabian Sea,20.0000,66.00000,"Cloudy, 27°C",Low Tide,"10,000",4:00 PM,Summer
1,Near Coast of Oman,23.6100,58.55000,"Clear, 30°C",High Tide,"15,000",11:00 PM,Summer
1,Dubai,25.2769,55.29620,"Clear, 30°C",Low Tide,"21,000",7:00 AM,Summer
2,Chennai Port,13.0820,80.29200,"Clear, 30°C",High Tide,"19,000",10:00 AM,Winter
2,Kandla Port,23.0360,70.22390,"Sunny, 29°C",High Tide,0,9:00 AM,Winter
2,Off Coast of Gujarat,22.0000,69.00000,"Cloudy, 28°C",Low Tide,"12,000",11:00 AM,Winter
2,Arabian Sea,15.0000,66.00000,"Clear, 30°C",High Tide,"15,000",3:00 PM,Winter
2,Off Coast of Somalia,1.0000,44.00000,"Clear, 29°C",Low Tide,"20,000",9:00 AM,Winter
2,Mombasa,-4.0435,39.66820,"Partly Cloudy, 28°C",High Tide,"23,000",6:00 PM,Winter
3,Kandla Port,23.0360,70.22390,"Rain, 27°C",Low Tide,0,8:00 AM,Spring
3,Off Coast of Goa,15.2993,74.12400,"Sunny, 31°C",High Tide,"14,000",1:00 PM,Spring
3,Southeast of Sri Lanka,6.9319,81.00990,"Clear, 30°C",Low Tide,"19,000",7:00 PM,Spring
3,Andaman Sea,10.2833,92.68330,"Overcast, 29°C",High Tide,"25,000",1:00 AM,Spring
3,Port Klang,3.0000,101.40000,"Cloudy, 28°C",Low Tide,"27,000",9:00 AM,Spring
4,Kandla Port,23.0360,70.22390,"Clear, 27°C",High Tide,0,7:00 AM,Autumn
4,Arabian Sea,20.0000,66.00000,"Clear, 29°C",High Tide,"12,000",2:00 PM,Autumn
4,Gulf of Aden,12.0000,45.00000,"Partly Cloudy, 28°C",Low Tide,"15,000",8:00 AM,Autumn
4,Suez Canal,30.5852,32.26560,"Rain, 27°C",High Tide,"20,000",10:00 PM,Autumn
4,Mediterranean Sea,35.0000,24.00000,"Clear, 30°C",Low Tide,"23,000",2:00 PM,Autumn
4,Rotterdam,51.9225,4.47920,"Clear, 30°C",High Tide,"25,000",6:00 PM,Autumn
5,Mumbai Port,18.9218,72.83350,"Cloudy, 29°C",Low Tide,0,10:00 AM,Summer
5,Near Gujarat Coast,22.2587,71.19240,"Clear, 28°C",High Tide,7000,2:00 PM,Summer
5,"Off Muscat, Oman",23.5880,58.38290,"Clear, 29°C",Low Tide,"11,000",8:00 PM,Summer
5,Near Dubai,25.2760,55.29630,"Cloudy, 27°C",High Tide,"17,000",2:00 AM,Summer
